instance,algorithm,best_value,exec_time,memory_bytes,relative_error
knapPI_3_10000_1000_1,Branch and Bound Algorithm,,,,
knapPI_3_10000_1000_1,FPTAS Algorithm (ε=0.8),,,,
knapPI_3_10000_1000_1,FPTAS Algorithm (ε=0.5),,,,
knapPI_3_10000_1000_1,FPTAS Algorithm (ε=0.1),,,,
knapPI_3_10000_1000_1,Two Approx Algorithm,146888.0,3.0461,72.0,0.0002
knapPI_3_500_1000_1,Branch and Bound Algorithm,,,,
knapPI_3_500_1000_1,FPTAS Algorithm (ε=0.8),7076.3904,1365.5708,4151232.0,0.0057
knapPI_3_500_1000_1,FPTAS Algorithm (ε=0.5),,,,
knapPI_3_500_1000_1,FPTAS Algorithm (ε=0.1),,,,
knapPI_3_500_1000_1,Two Approx Algorithm,7098.0,0.0168,72.0,0.0027
knapPI_2_100_1000_1,Branch and Bound Algorithm,1514.0,0.1721,2592.0,0.0
knapPI_2_100_1000_1,FPTAS Algorithm (ε=0.8),1472.64,0.3922,146232.0,0.0273
knapPI_2_100_1000_1,FPTAS Algorithm (ε=0.5),1492.4,0.4878,234648.0,0.0143
knapPI_2_100_1000_1,FPTAS Algorithm (ε=0.1),1506.96,1.0108,1178352.0,0.0046
knapPI_2_100_1000_1,Two Approx Algorithm,1487.0,0.0001,72.0,0.0178
knapPI_1_1000_1000_1,Branch and Bound Algorithm,54503.0,126.5338,462720.0,0.0
knapPI_1_1000_1000_1,FPTAS Algorithm (ε=0.8),54468.4448,302.0068,14612376.0,0.0006
knapPI_1_1000_1000_1,FPTAS Algorithm (ε=0.5),54479.822,408.3367,23386872.0,0.0004
knapPI_1_1000_1000_1,FPTAS Algorithm (ε=0.1),54499.0834,920.0319,116982960.0,0.0001
knapPI_1_1000_1000_1,Two Approx Algorithm,54386.0,0.0002,72.0,0.0021
knapPI_1_10000_1000_1,Branch and Bound Algorithm,,,,
knapPI_1_10000_1000_1,FPTAS Algorithm (ε=0.8),,,,
knapPI_1_10000_1000_1,FPTAS Algorithm (ε=0.5),,,,
knapPI_1_10000_1000_1,FPTAS Algorithm (ε=0.1),,,,
knapPI_1_10000_1000_1,Two Approx Algorithm,563605.0,2.7873,72.0,0.0001
knapPI_3_100_1000_1,Branch and Bound Algorithm,2397.0,8.1982,14784.0,0.0
knapPI_3_100_1000_1,FPTAS Algorithm (ε=0.8),2351.968,0.6971,168312.0,0.0188
knapPI_3_100_1000_1,FPTAS Algorithm (ε=0.5),2353.065,0.623,270000.0,0.0183
knapPI_3_100_1000_1,FPTAS Algorithm (ε=0.1),2387.072,2.8097,1354848.0,0.0041
knapPI_3_100_1000_1,Two Approx Algorithm,2375.0,0.0001,72.0,0.0092
knapPI_1_5000_1000_1,Branch and Bound Algorithm,,,,
knapPI_1_5000_1000_1,FPTAS Algorithm (ε=0.8),,,,
knapPI_1_5000_1000_1,FPTAS Algorithm (ε=0.5),,,,
knapPI_1_5000_1000_1,FPTAS Algorithm (ε=0.1),,,,
knapPI_1_5000_1000_1,Two Approx Algorithm,276379.0,1.0757,72.0,0.0003
knapPI_2_2000_1000_1,Branch and Bound Algorithm,18051.0,727.5498,1247568.0,0.0
knapPI_2_2000_1000_1,FPTAS Algorithm (ε=0.8),18023.7564,2827.4479,55805160.0,0.0015
knapPI_2_2000_1000_1,FPTAS Algorithm (ε=0.5),18031.5025,3850.9851,89301960.0,0.0011
knapPI_2_2000_1000_1,FPTAS Algorithm (ε=0.1),,,,
knapPI_2_2000_1000_1,Two Approx Algorithm,18038.0,0.0009,72.0,0.0007
knapPI_2_1000_1000_1,Branch and Bound Algorithm,9052.0,190.0911,570192.0,0.0
knapPI_2_1000_1000_1,FPTAS Algorithm (ε=0.8),9024.752,371.2476,13955712.0,0.003
knapPI_2_1000_1000_1,FPTAS Algorithm (ε=0.5),9035.1165,492.1695,22335504.0,0.0019
knapPI_2_1000_1000_1,FPTAS Algorithm (ε=0.1),,,,
knapPI_2_1000_1000_1,Two Approx Algorithm,9046.0,0.0004,72.0,0.0007
knapPI_1_100_1000_1,Branch and Bound Algorithm,9147.0,0.1434,4752.0,0.0
knapPI_1_100_1000_1,FPTAS Algorithm (ε=0.8),9100.616,0.8528,149520.0,0.0051
knapPI_1_100_1000_1,FPTAS Algorithm (ε=0.5),9112.58,2.2366,239760.0,0.0038
knapPI_1_100_1000_1,FPTAS Algorithm (ε=0.1),9141.493,4.6154,1203600.0,0.0006
knapPI_1_100_1000_1,Two Approx Algorithm,8817.0,0.0002,72.0,0.0361
